Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
bundle1,published,managed_by_android,false,en_US;Bundle 1;some items,true,2990000,
bundle2,published,managed_by_android,false,en_US;bundle2;more items,true,4990000,
bundle3,published,managed_by_android,false,en_US;bundle3;many item,true,9990000,
bundle4,published,managed_by_android,false,en_US;bundle4;so many item,true,29990000,
coin1,published,managed_by_android,false,en_US;coin1;little coins,true,1990000,
coin2,published,managed_by_android,false,en_US;coin2;more little coins,true,3990000,
coin3,published,managed_by_android,false,en_US;coin3;some coins,true,5990000,
coin4,published,managed_by_android,false,en_US;coin4;more some coins,true,7990000,
coin5,published,managed_by_android,false,en_US;coin5;many coins,true,14990000,
coin6,published,managed_by_android,false,en_US;coin6;so many coins,true,19990000,
